run_id,lambda,track_file_name,resolved_track_path,status,message,row_count,transition_count,used_count,downhill_count,uphill_count,observed_acceptance,mean_uphill_delta,median_uphill_delta,max_probability_error,probability_valid,initial_params_match,best_cost_error,initial_temp,min_temp,cooling_rate,perturbation,gen_seed
1,15,track_csv/experiments/low_temp_n1/1.csv,/home/samuel/projects/shape_optimizer/track_csv/experiments/low_temp_n1/1.csv,ok,,2301,2300,200,106,94,0.985,0.0111041695946,0.00505328268581,1.11022302463e-16,True,True,0,1,0.001,0.997,"[0.06, 0.06, 3.0, 1.0, 3.0]",0
2,15,track_csv/experiments/low_temp_n1/2.csv,/home/samuel/projects/shape_optimizer/track_csv/experiments/low_temp_n1/2.csv,ok,,2301,2300,200,95,105,1,0.00267251990297,0.00168370461754,1.11022302463e-16,True,True,0,1,0.001,0.997,"[0.06, 0.06, 3.0, 1.0, 3.0]",0
3,15,track_csv/experiments/low_temp_n1/3.csv,/home/samuel/projects/shape_optimizer/track_csv/experiments/low_temp_n1/3.csv,ok,,2301,2300,200,99,101,1,0.00775571422034,0.00274055883062,1.11022302463e-16,True,True,0,1,0.001,0.997,"[0.06, 0.06, 3.0, 1.0, 3.0]",0
4,15,track_csv/experiments/low_temp_n1/4.csv,/home/samuel/projects/shape_optimizer/track_csv/experiments/low_temp_n1/4.csv,ok,,2301,2300,200,101,99,0.975,0.0237404402402,0.0153286241999,1.11022302463e-16,True,True,0,1,0.001,0.997,"[0.06, 0.06, 3.0, 1.0, 3.0]",0
5,15,track_csv/experiments/low_temp_n1/5.csv,/home/samuel/projects/shape_optimizer/track_csv/experiments/low_temp_n1/5.csv,ok,,2301,2300,200,94,106,0.95,0.062682958593,0.0276888760142,1.11022302463e-16,True,True,0,1,0.001,0.997,"[0.06, 0.06, 3.0, 1.0, 3.0]",0
6,15,track_csv/experiments/low_temp_n1/6.csv,/home/samuel/projects/shape_optimizer/track_csv/experiments/low_temp_n1/6.csv,ok,,2301,2300,200,100,100,0.995,0.00716196948465,0.00406371157366,1.11022302463e-16,True,True,0,1,0.001,0.997,"[0.06, 0.06, 3.0, 1.0, 3.0]",0
7,15,track_csv/experiments/low_temp_n1/7.csv,/home/samuel/projects/shape_optimizer/track_csv/experiments/low_temp_n1/7.csv,ok,,2301,2300,200,96,104,0.995,0.0115280199581,0.00578558238821,1.11022302463e-16,True,True,0,1,0.001,0.997,"[0.06, 0.06, 3.0, 1.0, 3.0]",0
8,15,track_csv/experiments/low_temp_n1/8.csv,/home/samuel/projects/shape_optimizer/track_csv/experiments/low_temp_n1/8.csv,ok,,2301,2300,200,102,98,1,0.014130473467,0.00843570667484,1.11022302463e-16,True,True,0,1,0.001,0.997,"[0.06, 0.06, 3.0, 1.0, 3.0]",0
9,15,track_csv/experiments/low_temp_n1/9.csv,/home/samuel/projects/shape_optimizer/track_csv/experiments/low_temp_n1/9.csv,ok,,2301,2300,200,88,112,0.995,0.0165745753599,0.0104063678387,1.11022302463e-16,True,True,0,1,0.001,0.997,"[0.06, 0.06, 3.0, 1.0, 3.0]",0
10,15,track_csv/experiments/low_temp_n1/10.csv,/home/samuel/projects/shape_optimizer/track_csv/experiments/low_temp_n1/10.csv,ok,,2301,2300,200,98,102,1,0.005970786883,0.00189375275559,1.11022302463e-16,True,True,0,1,0.001,0.997,"[0.06, 0.06, 3.0, 1.0, 3.0]",0
