run_id,lambda,track_file_name,resolved_track_path,status,message,row_count,transition_count,used_count,downhill_count,uphill_count,observed_acceptance,mean_uphill_delta,median_uphill_delta,max_probability_error,probability_valid,initial_params_match,best_cost_error,initial_temp,min_temp,cooling_rate,perturbation,gen_seed
1,1,track_csv/jasminum-remote/results/1.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/1.csv,ok,,2758,2757,100,39,61,1,0.0578844583981,0.0403500461293,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
2,1.25,track_csv/jasminum-remote/results/2.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/2.csv,ok,,2758,2757,100,49,51,1,0.0614704780127,0.0464320447099,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
3,1.5,track_csv/jasminum-remote/results/3.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/3.csv,ok,,2758,2757,100,48,52,1,0.038505022433,0.0253587076478,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
4,1.75,track_csv/jasminum-remote/results/4.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/4.csv,ok,,2758,2757,100,51,49,1,0.0896205131239,0.0671059788422,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
5,2,track_csv/jasminum-remote/results/5.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/5.csv,ok,,2758,2757,100,46,54,1,0.052256527076,0.0307122297901,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
6,1,track_csv/jasminum-remote/results/6.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/6.csv,ok,,2758,2757,100,47,53,1,0.0436957490016,0.0222611800748,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
7,1.25,track_csv/jasminum-remote/results/7.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/7.csv,ok,,2758,2757,100,54,46,1,0.0425278712178,0.0334341707093,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
8,1.5,track_csv/jasminum-remote/results/8.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/8.csv,ok,,2758,2757,100,60,40,1,0.13010688402,0.111240677957,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
9,1.75,track_csv/jasminum-remote/results/9.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/9.csv,ok,,2758,2757,100,52,48,1,0.0527267311039,0.0448906796989,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
10,2,track_csv/jasminum-remote/results/10.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/10.csv,ok,,2758,2757,100,47,53,1,0.039294283113,0.040004621717,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
11,1,track_csv/jasminum-remote/results/11.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/11.csv,ok,,2758,2757,100,55,45,1,0.0649747618511,0.0544901525073,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
12,1.25,track_csv/jasminum-remote/results/12.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/12.csv,ok,,2758,2757,100,49,51,1,0.0387280822537,0.0233931155,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
13,1.5,track_csv/jasminum-remote/results/13.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/13.csv,ok,,2758,2757,100,55,45,1,0.0578396770166,0.0423801588069,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
